"filename", "language", "JavaScript", "PostCSS", "Markdown", "JSON", "XML", "HTML", "comment", "blank", "total"
"d:\coding\MERN\mern-photo-artist-app\package-lock.json", "JSON", 0, 0, 0, 6722, 0, 0, 0, 1, 6723
"d:\coding\MERN\mern-photo-artist-app\package.json", "JSON", 0, 0, 0, 28, 0, 0, 0, 1, 29
"d:\coding\MERN\mern-photo-artist-app\server\index.js", "JavaScript", 132, 0, 0, 0, 0, 0, 22, 24, 178
"d:\coding\MERN\mern-photo-artist-app\server\models\Galleryphoto.js", "JavaScript", 16, 0, 0, 0, 0, 0, 1, 4, 21
"d:\coding\MERN\mern-photo-artist-app\server\models\Post.js", "JavaScript", 28, 0, 0, 0, 0, 0, 1, 3, 32
"d:\coding\MERN\mern-photo-artist-app\server\models\Story.js", "JavaScript", 24, 0, 0, 0, 0, 0, 1, 3, 28
"d:\coding\MERN\mern-photo-artist-app\server\models\Storyphoto.js", "JavaScript", 17, 0, 0, 0, 0, 0, 1, 4, 22
"d:\coding\MERN\mern-photo-artist-app\server\routes\contact.js", "JavaScript", 39, 0, 0, 0, 0, 0, 1, 6, 46
"d:\coding\MERN\mern-photo-artist-app\server\routes\gallery.js", "JavaScript", 65, 0, 0, 0, 0, 0, 4, 6, 75
"d:\coding\MERN\mern-photo-artist-app\server\routes\posts.js", "JavaScript", 93, 0, 0, 0, 0, 0, 6, 7, 106
"d:\coding\MERN\mern-photo-artist-app\server\routes\story.js", "JavaScript", 175, 0, 0, 0, 0, 0, 10, 12, 197
"d:\coding\MERN\mern-photo-artist-app\server\utility\authenticateToken.js", "JavaScript", 34, 0, 0, 0, 0, 0, 1, 5, 40
"Total", "-", 3697, 166, 38, 35422, 3, 24, 206, 515, 40071
